Email,First Name,Last Name,Phone,Amount,Date
john.doe@example.com,John,Doe,555-123-4567,100.50,2025-01-15
jane.smith@example.com,Jane,Smith,555-987-6543,250.75,2025-02-01
alice.johnson@example.com,Alice,Johnson,555-456-7890,50.00,2025-02-15
bob.wilson@example.com,Bob,Wilson,555-789-0123,75.25,2025-01-25
emily.davis@example.com,Emily,Davis,555-234-5678,125.00,2025-03-01
michael.brown@example.com,Michael,Brown,555-345-6789,200.00,2025-02-10
sarah.miller@example.com,Sarah,Miller,555-456-7890,150.50,2025-01-20
david.garcia@example.com,David,Garcia,555-567-8901,300.75,2025-03-05
lisa.rodriguez@example.com,Lisa,Rodriguez,555-678-9012,85.25,2025-02-20
james.wilson@example.com,James,Wilson,555-789-0123,175.00,2025-01-30
